matColumns: HU rho RSP Lrad Ipot H C N O Na Mg P S Cl K Ca Fe I
# Units: dimensionless g/cm^3 dimensionless eV g/cm^2
mat: -1024 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1023 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1022 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1021 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1020 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1019 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1018 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1017 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1016 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1015 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1014 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1013 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1012 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1011 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1010 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1009 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1008 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
mat: -1007 0.00122 0.00108 37.0351 87.10152304386634 0 0 76.5 23.5 0 0 0 0 0 0 0 0 0
